Mot,D?finition
libre,free/available
la livre sterling,pound sterling
le maillot de bain,bathing costume
le manteau,coat
le marchand (de fruit),(fruit) stallholder
le membre,member
la mode (? la mode),fashion(able)
la montre,watch
nager,to swim
le num?ro (de t?l?phone),(telephone) number
l?ordinateur,computer
le pantalon,trousers
le parfum,perfume
le passe-temps,hobby/passtime
le patinage,skating
la patinoire,skating rink
la p?che,fishing
le pique-nique,picnic
la planche ? voile,windsurfing
le portable,mobile phone
le porte-monnaie,purse
pousser,to push
(se) promener,to (go for a) walk
le pull,jumper
le rayon,shelf
r?duit,reduced
regarder,to watch/look
(se) rencontrer,to meet (up)
retourner,to return/go back
la robe,dress
le sac (? main),(hand) bag
sauter,to jump
la s?rie,series
le short,shorts
le skate,skateboarding
les soldes (m),sales
sortir,to go out
le spectateur,spectator
les sports d?hiver (m),winter sports
le stade,stadium
le surf (de neige),surfing (snowboarding)
la surprise-partie,surprise party
taper,to type
la t?l?(vision),tv (television)
le texto,text message
tirer,to pull
la valeur,value
vendre,to sell
la version originale,original version
les v?tements (m),clothes
la voile,sailing
le volley,volleyball
l?achat (m),purchase
aller,to go
? l?appareil (m),speaking (on the phone)
l?argent (de poche) (m),(pocket) money
le ballon,ball
la banque,bank
avoir besoin de,to need
le billet,ticket
bon march?,cheap/bargain
la boucle d?oreille,earring
les boules (f),bowls
le cadeau,present
la carte de credit,credit card
le centre commercial,shopping centre
la chanson,song
le chanteur,singer
le chapeau,hat
la chaussette,sock
la chemise,shirt
le choix,choice
le clavier,keyboard
cliquer,to click
la coiffeuse,hairdresser
la com?die,comedy
la confiserie,sweet shop
courir,to run
le cyclisme,cycling
d?mod?,unfashionable
le d?savantage,drawback/handicap
le disque (compact),(compact) disk
donner,to give
l?cran (m),screen
ensemble,together
envoyer,to send
l?quipe (f),team
essayer,to try
faire les courses,to go (food) shopping
?tre fana de,to be a fan of
le feuilleton,soap opera
le film d?horreur,horror film
le film de science-fiction,science-fiction film
le film romantique,romantic film
le gant,glove
le groupe,group
la gymnastique,gymnastics
l?id?e (f),idea
l?inconv?nient,disadvantage
le jeu de cartes/soci?t?,card/board game
jouer,to play
le journal,newspaper
laisser,to leave/drop
le lecteur mp3,mp3 player
la librairie,bookshop
lire,to read
le magasin,shop
la maison de la presse,newsagents
le maquillage,make-up
le march?,market
mettre de l?argent de c?t?,to put money aside
la monnaie,change
la musique (classique),(classical) music
la natation,swimming
l?orchestre,orchestra
la paire,pair
le parapluie,umbrella
la parfumerie,perfumery
le patin ? roulettes,roller skating
patiner,to skate
la p?tisserie,cake shop
la pi?ce,play
la piscine,swimming pool
la poche ,pocket
le portefeuille,wallet
la poste,post office
le prix,price
la publicit?,advert
le pyjama,pyjamas
recevoir,to receive
la r?duction,reduction/discount
remplir,to fill
rentrer,to return/go back in/to
le risque,risk
le rouge ? l?vres,lipstick
la sandale,sandal
la s?ance,session/sitting/performance
le shampooing,shampoo
aller sur un site,to go on a (web) site
le ski nautique,water skiing
la sortie,exit
sous-titr?,subtitled
sportif,sporty
les sports nautiques,water sports
le supermarch?,supermarket
surfer ,to surf (sea and internet)
le sweat (shirt),sweat shirt
la technologie,technology
le temps libre,free time
le th??tre,theatre
toucher,to touch
la vedette,star (person)
venir,to come
la veste,jacket
la vitrine,shop window
voir,to see
le VTT,mountain biking
les actualit?s (f),news
annuler,to cancel
l?antenne (f),aerial
le bloggeur,blogger
le bouton,button
le cano? kayak,kayak
le chariot,online cart
le commencement,beginning/start
le comptoir,counter/bar
contr?ler,to control
la course,race/shopping
d?chirer,to tear (up/apart)
deviner,to guess/work out
le distributeur automatique,vending machine/cash point
les ?checs (m),chess
effacer,to rub out/erase/wipe
emprunter,to borrow
enregistrer,to record
?tre rembours?,to be reimbursed
faire du l?che-vitrine,to window shop
le feu d?artifice,firework
les fl?chettes,darts
le genre,type/genre
la grille de s?curit?,safety gate
l?ic?ne (f),icon
le jour f?ri?,bank holiday
le libre-service,self-service
lourd,heavy
marquer (un but),to score (a goal)
la mi-temps,half-time
les mots crois?s (m),crossword
la page d?accueil,home page
le piercing (? l?oreille),(ear) piercing
la planche de surf,surfboard
la plong?e sous-marine,scuba diving
le poste de travail,work station
le pull ? capuche,hooded jumper
la r?clame,advert
rembourser,to reimburse
remporter,to win
le reste,rest/remainder
le sommet,summit
le tatouage,tattoo
le t?l?spectateur,TV viewer
le traitement de texte,Word processing
l?alpinisme (m),mountaineering
anonyme,anonymous
le bijou,jewellery
la bo?te aux lettres ,inbox
le cam?scope,camcorder
la cha?ne,channel
le chemisier,blouse
le commer?ant,shopkeeper/trader
la console de jeu,games console
le courrier ?lectronique,e-mail
le cybercaf?,cybercaf?
d?rouler (en bas/en haut),to scroll (down/up)
les distractions (f),distractions
l?charpe (f),scarf
l?cran tactile (m),touch screen
emballer,to pack/package/wrap
(s?) ennuyer,to bore (get bored)
l?escalade (f),climbing
l?v?nement (m),event
la fermeture (annuelle),(annual) closing
feuilleter,to leaf/skim through
le/la fleuriste,florist
la grande surface,super/hypermarket
le gymnase,gymnasium
imprimer,to print
lancer,to throw
le lien,link/connection/relationship
le magn?toscope,video recorder
mettre en ligne,to upload
le moniteur,monitor/instructor
la musculation,weighlifting/body-building
p?dagogique,educational/instructive
la pile,battery
la platine laser,CD player
la poissonnerie,fishmonger
la prise,plug
quotidien,daily
le re?u,receipt
remplacer,to replace
le r?seau,network
la r?union,meeting/get-together
sugg?rer,to suggest
t?l?charger,to download
la tourn?e,tour/round
l?addition (f),bill
l?Afrique (f)/africain,Africa/african
en plein air (l?air) (m),open air (air)
l?Allemagne/allemand,germany/german
l?aller simple ,single ticket
l?Am?rique/am?ricain,America/american
(s?) approcher,to approach/come closer
l?ascenseur (m),lift
l?Atlantique (m),Atlantique
L?Australie/australien,Australia/australian
L?autobus (m),bus
L?aventure (f),adventure
les bagages (m),luggage
le bain,bath
le bateau,boat
la boisson,drink
(se) bronzer,to tan
le camion,lorry
le car,coach
le carnet,book of tickets
la carte,map
casser,to break
la chambre de famille,family room
le ch?teau,castle
chercher,to look for
la classe,class
commander,to order
compris,included
confirmer,to confirm
la consigne,left-luggage office
co?ter,to cost
le d?part,departure
diff?rent,different
la douane,customs
Douvres,Dover
durer,to last
Edimbourg,Edinburgh
encore,again(still/yet/although)
l?Espagne (f)/espagnol,Spain/spanish
les ?tats-Unis (m),United States
l?tranger (m) (? l?tranger),stranger (abroad)
les feux rouges (m),traffic lights
la gare routi?re,bus station
le g?te,holiday cottage
le guichet,ticket office
l?h?tel (m),hotel
l?Irlande (f) (du Nord)/irlandais,(Northern) Ireland/irish
le Japon/japonais,Japan/japanese
le lavabo,sink/washbasin
la ligne,line
le logement,accomodation
Londres,London
la Manche,English Channel
le Maroc/marocain,Morocco/moroccan
m?me,same/even
la mer,sea
mixte,mixed
le monde,world
l?office de tourisme (m),tourist information office
partir,to leave
le passant,pedestrian/passer-by
le Pays de Galles/gallois,Wales/welsh
la pension compl?te,full board
la pi?ce d?identit?,ID card
le pi?ton,pedestrian
la plage,beach
le plat (du jour/principal),main meal/dish of the day
le Portugal/portugais,Portugal/portuguese
press?,squeezed/rushed
le projet,project/plan/proposal
le quai,platform
la randonn?e,hiking
recommender,recommend
les renseignements (m),information
r?server,to reserve/book
revenir,to come back
la rue,street/road
le sac de couchage,sleeping bag
la salle d?attente,waiting room
le savon,soap
sens interdit,no entry
le service compris,service included
la sortie de secours,emergency exit
la station service,petrol station
la Suisse/suisse,Switzerland/swiss
le suppl?ment,supplement/extra
le tarif (r?duit),(reduced) price/fare
la tente,tent
le/la touriste,tourist
la Tunisie/tunisien,Tunisia/tunisian
la valise,suitcase
la visite (guid?e),(guided) visit/tour
la voiture,car
voler,to fly
le voyageur,traveller
la vue (de mer),(sea) view
l?a?roport (m),airport
l?agence de voyages (f),travel agency
l?Alg?rie (f)/alg?rien,Algeria/algerian
l?aller-retour,return ticket
les Alpes,Alpes
l?Angleterre/anglais,England/english
l?arriv?e,arrival
l?assiette (f),plate
l?auberge de jeunesse (f),youth hostal
L?auto (f),car/motocar
L?autoroute (f),motorway
L?avion (m),airplane
(se) baigner,to bathe/swim
le balcon,balcony
la Belgique/belge,Belgium/belgian
le bord de la mer,seaside
le bureau des renseignements,tourist information office
le Canada/canadien,Canada/canadian
la caravane,caravan
le carrefour,crossroads
la carte postale,postcard
la chambre double,double room
la chambre pour une personne/? deux lits,single room/twin bedded room
le chauffeur,driver
la Chine/chinois,China/Chinese
la colonie de vacances,holiday camp
composter,to stamp (a train ticket)
conduire,to drive
le confort,comfort/wellbeing
la c?te,coast
la demi-pension,half board
la diff?rence,difference
le dortoir,dormitory
la douche,shower
le drapeau,flag
l?Ecosse (f)/ecossais,Scotland/scottish
l?employ?(e) m/f,employee
l?endroit (m),place
l?essence (f),petrol
l?toile,star
expliquer,to explain
la gare,station
(se) garer,to park
la Grande-Bretagne/britannique,Great Britain/british
l?horaire (m),timetable
l?Inde (f)/indien,India/indian
l?Italie (f)/italien,Italy/italian
le lac,lake
lentement,slowly
la location (de voitures),(car) hire
le loisir,leisure
louer,to rent/hire
marcher,to walk
la M?diterran?e,Mediterranean
le menu ? prix fixe,set price menu
(se) mettre en route,to set off
la mobylette,moped
la moto,motorbike
partager,to share
le passager,passenger
le pays,country
le p?age,toll
le permis (de conduire),(driving) licence
le pied (? pied),foot (on foot)
la piste,path/trail/piste
le plan de ville,map of the town
la Pologne/polonaise,Poland/polish
le pourboire,tip
pr?t,ready/packed
faire une promenade,to go for a walk
quitter,to leave
rapide,quick
la r?gion,region
la r?servation,reservation
le retour,return journey
le rond-point,roundabout
le sable,sand
la saison,season
la salle de bains,bathroom
le s?jour,stay
sens unique ,one way
servir,to serve
le spectacle,show
stationner,to park
suivre,to follow
le syndicat d?initiative,tourist information office
la tasse,cup
le tourisme,tourism
tourner,to turn
les vacances (f),holidays
le v?hicule,vehicle
visiter,to visit
le vol,flight
le voyage,journey
vraiment,really/truly/actually
l?aire de repos,rest area
l?avis (m),opinion/notice
le bloc sanitaire,sanitary block
le casque,helmet
le chemin de fer,railway
la correspondance,letters/correspondence
d?coller,take off
diriger,to guide/steer/direct
en provenance de,(coming) from
la fronti?re,border
le loyer,rent
la mar?e,tide
le panneau,sign
le parc d?attractions,theme park
le paysage,landscape/scenery
ralentir,to slow down
le routier,road
la station de ski,ski resort
le trajet,journey/ride/flight
atterrir,to land
le bistro,bistro/caf?
la brasserie,brewery
la chambre d?h?te ,guesthouse
la climatisation,air conditioning
la croisi?re,cruise
la d?viation,deviation
doubler,to overtake
l?tat (m),state
indiquer,to show/indicate
manquer,to miss/lack
le niveau,level
para?tre,to seem/appear
le passage ? niveau,level crossing
la perte,loss
remarquer,to note/see/notice
la station baln?aire,seaside resort
la tour,tower
la travers?e,crossing
plus,more
plus que,more than
bon,good
le meilleur,the best
pire,worse
bien,well
le mieux,the best
plus mal,worse
beaucoup plus,a lot more
un peu moins?,a little less
Moins,less
moins que,less than
Meilleur,better
Mauvais,bad
le pire,the worst
Mieux,better
Mal,badly
le plus mal,the worst
le plus, the most
le moins,the least
? cause de,because of
ainsi (que),so (as well as)
aussi,also
cependant,"however, yet, even so"
comme,as/like
donc,"therefore, so"
?videmment,evidently
mais,but
ou,or
par contre,"however, on the other hand"
pendant que,while
puis,then
quand,when
si,if
? part,"apart from, except for"
Alors,then
Car,"because, for, as"
c?est-?-dire,that is
d?un c?t?/de l?autre c?t?,on the one hand/on the other hand
Ensuite,"then, next"
Et,and
m?me si,even if
parce que,because
par exemple,for example
Pourtant,"yet, even, though"
Puisque,"since, because, as"
sans doute,without doubt
y compris,including
?,at/to
? travers,across/through
au bout de,at the end of
au-dessus de,above
au lieu de,instead of
autour de,around
contre,against
de,of/from
derri?re,behind
en,in/on/by
en face de,opposite
jusqu?,until
parmi,among
pr?s de,near
selon,according to
sur,on
? c?t? de,next to
au bord de,at the edge of
au-dessous de,underneath
au fond de ,at the bottom of
au mileu de,in the middle of
Avec,with
Dans,in
Depuis,since
Devant,in front  (of)
en dehors de,apart from
Entre,between
Malgr?,despite
Pour,for/in order to
Sans,without
Sous,under
Vers,towards
ne? jamais,never
ne? personne,nobody
ne?. que,only
ni?. ni,neither?nor
ne? pas,not
ne?. Plus,no more
ne?. Rien,nothing
pas encore,not yet
Premier/premi?re,First
Dizaine,Around/about ten
Nombre de,A number of/many of
Deuxi?me,second
Douzaine,Dozen/twelve
Combien?,How many?
Est-ce que?,Is?
Pourquoi?,Why?
Que?,What?
Qu?est-ce que?,What?
Qu?est-ce que c?est?,What is it?
Quoi?,What?
Comment?,How?
O??,Where?
Quand?,When?
Quel/quelle?,Which?
Qui est-ce qui??,Who??
Qui?,Who?
? quelle heure?,At what time?
C?est combien?,How much is it?
C?est quel jour?,What is the day?
D?o??,From where?
O? est?,Where is?
Que veut dire??,What does? mean?
?a s?crit comment?,How is it spelt?
C?est quelle date?,What is the date?
De quelle couleur?,What colour?
O? ?a?,Where is (that)?
Pour combien de temps??,For how long?
Quelle heure est-il?,What time is it?
? bient?t,see you soon
? tout ? l?heure,see you later
amiti?s,best wishes/regards
au secours,help
bienvenue!,welcome!
bon anniversaire,Happy birthday
bon voyage,have a good trip
bonne chance,good luck
bonne nuit,goodnight
bonsoir,good evening
?a va (?),ok (how are you??)
de rien,you?re welcome
excusez-moi,excuse me
Joyeux No?l,Happy Christmas
merci,thank you
oui,yes
quel dommage?!,what a shame?!
sant?,cheers
? demain,see you tomorrow
All?,hello (on the telephone)
au revoir,goodbye
bien s?r,of course
Bonjour,hello/good morning
bon app?tit,enjoy your meal
bonne ann?e,happy new year
bonne id?e,good idea
bonnes vacances,have a nice holiday
Bravo,well done
d?accord,ok
D?sol?,sorry
F?licitations,congratulations
meilleurs v?ux,best wishes/seasons greetings
Non,no
Pardon,sorry
Salut,hi/bye
s?il te/vous pla?t,please
? mon avis,in my opinion
affreux,awful
aimer,to like
barbant,boring
bien entendu,of course/naturally
?a d?pend,it depends
?a me fait rire,it makes me laugh
?a m?est ?gal,I don?t mind
?a suffit,that?s enough
cher,expensive
comique,comical/funny
compliqu?,complicated
croire,to believe
d?sagr?able,unpleasant/nasty
d?tester,to hate
dire,to say/tell
emb?tant,annoying/irritating
enchant?,enchanted/nice to meet you
esp?rer,to hope
facile,easy
fantastique,fantastic
franchement,frankly
g?nial,great
habile,capable/able
(s?) int?resser ?,to be interested in
incroyable,unbelievable
joyeux,happy
en avoir marre (de) ,to be fed up (of/with)
merveilleux,marvellous
moche,ugly
(moi) non plus,(me) neither
nul,rubbish
passionnant,fascinating/enthralling
penser,to think
peut-?tre,maybe
positif/positive,positive
pr?f?rer,to prefer
regretter,to regret/to be sorry
rigolo,funny
sembler,to seem
simple,simple/easy
stupide,stupid
superbe,superbe
vouloir,to want/desire
Absolument,absolutely
Agr?able,pleasant
Amusant,amusing/funny
Bien,good/fine/well
Bon,good
?a m?nerve,it annoys me
?a me pla?t,I like that
?a n me dit rien,it means nothing to me
casse-pieds,annoying
Chouette,great
comme ci comme ?a,so-so
Content,happy
d?accord,ok
D?sirer,to desire/to wish
Difficile,difficult
Dr?le,funny
en g?n?ral,in general
Ennuyeux,boring
Etonn?,surprised
Faible,weak
Formidable,great
G?n?ralement,generally
Grave,serious
Int?ressant,interesting
Inutile,useless
Inquiet,anxious/worried
Marrant,funny
Mauvais,bad
Mignon,cute/sweet/kind/lovely
Moderne,modern
Nouveau,new
Optimiste,optimistic
la peine,the trouble (also means to be sad. Eg avoir de la peine/tristesse)
Pessimiste,pessimistic
Populaire,popular
Pratique,practical
Promettre,to promise
Ridicule,ridiculous
Sage,good/well-behaved/wise
Sensass,sensational
Splendide,splendid
Supporter,to support/put up with/accept
Utile,useful
zut?!,drat/blast?!
demi,half past
heure,hour
minuit,midnight
moins,to
seconde,second
? l?avenir,in the future
? temps partiel,part-time
ann?e,year
apres-demain,the day after tomorrow
aujourd?hui,today
avant,before
bient?t,soon
dans une minute,in a minute
de bonne heure,early
demain,tomorrow
de temps en temps,from time to time
de nouveau,again
en avance,early/ahead of
?tre en train de,to be in the process of
encore une fois,again/once more
fin,end
il y a,there is/are
journ?e,day(time)
longtemps,a long time/while
matin,morning
en ce moment,at the moment
nuit,night
pass?,before/past/gone
plus tard,later
prochain,next
rarement,rarely
semaine,week
si?cle,century
soudain,suddenly
suivant,following/next
tard,late
toujours,always
tout ? coup/d?un coup,suddenly/all of a sudden
vite,soon/quickly/fast
Environ,about
Midi,midday
Minute,minute
Quart,quarter
? la fois,at the same time
? l?heure,on time
An,year
Apr?s,after(wards)
apr?s-midi,afternoon
Auparavant,"before, formerly"
avant-hier,the day before yesterday
d?abord,first of all
d?habitude,usually
D?but,beginning
Dernier,last
D?j?,already
en attendant,meanwhile/in between time
en retard,late
en m?me temps,at the same time
Enfin,finally
Hier,yesterday
Jour,day
Lendemain,next day/following day
Maintenant,now
Mois,month
Normalement,normally
Parfois,sometimes/occasionally
Pendant,during
Presque,nearly
Quelquefois,sometimes
R?cemment,recently
Seulement,only
Soir,evening
Souvent,often
sur le point de,on the point of
T?t,early
tous les jours,everyday
tout de suite,immediately/straightaway
week-end,weekend
? droite,on the right
la banlieue,suburbs
la campagne,countryside
de chaque c?t?,on each/either side
en bas,downstairs
est,is
kilom?tre,kilometre
l?-bas,over there
nord,north
ouest,west
partout,everywhere
situ?,situated/located
tout droit,straight on/ahead
toutes directions,all directions
? gauche,on the left
centre-ville,town centre
Chez,at home
de l?autre c?t?,on the other side
en haut,upstairs
Ici,here
L?,there
loin de,far from
nulle part,nowhere
Par,by
quelque part,somewhere
Sud,south
tout pr?s,(quite) near
Ville,town
blanc,white
blond,blonde
clair,light
gris,grey
marron,brown
pourpre,purple
rouge,red
vert,green
Bleu,blue
brun,brown
fonc?,dark
jaune,yellow
noir,black
rose,pink
roux,redhaired
assez,quite
beaucoup (de),a lot (of)
une bouteille,a bottle
court,short
encore de,more of
un gramme,a gram
gros,fat
un kilo,a kilo
un litre,a litre
mesurer,to measure
mince,thin
un morceau,a piece/bit/morsel
un nombre,a number
pas mal de,quite a few
petit,small
plein de ,full of
rien,nothing
la taille,size
tr?s,very
bas,low
une bo?te,a box
un centim?tre,a centimetre
demi,half
?troit,narrow
grand,big
haut,high
large,wide
maigre,thin
un m?tre,a metre
moiti?,half
moyen,average
un paquet,a packet
peser,to weigh
peu,little/few
la pointure,(shoe) size
suffisamment,enough/sufficient
une tranche,a slice
trop,too
carr?,square
rond,round
hauteur,height
une averse,a shower
le brouillard,fog
chaud,hot
le climat,climate
le degr?,degree
un ?clair,lightning
ensoleill?,sunny
faire mauvais,to be bad weather
geler,to freeze
humide,humid/damp
mouill?,wet
neiger,to snow
nuageux,cloudy
orageux,stormy
la pluie,rain
le soleil,sun
la temp?te,storm
le tonnerre,thunder
le vent,wind
briller,to shine
la chaleur,heat
le ciel,sky
couvert,covered/cloudy
doux,mild
une ?claircie,sunny spell
faire beau,to be nice weather
froid,cold
la glace,ice
la m?t?o,weather forecast
la neige,snow
le nuage,cloud
l?ombre,shade
pleuvoir,to rain
sec,dry
la temp?rature,temperature
le temps,weather
tremper,to soak
complet ,full/complete
ferm?,closed
interdit,prohibited/forbidden
ouvert,open
la sortie,exit
entr?e libre,free entry
fermer,to close
occup?,busy/occupied
ouvrir,to open
avoir raison,to be right
corriger,to correct
une faute,mistake
il (me) faut,(I) need
n?cessaire,necessary
parfait,perfect
se tromper,to make a mistake
avoir tort,to be wrong/incorrect
une erreur,error
faux,FALSE
juste,right/true/accurate
obligatoire,obligatory/compulsory
s?r,sure/certain
vrai,TRUE
l?argent,silver
le bois,wood
le carton,cardboard
le cuir,leather
la laine,wool
l?or,gold
la plastique,plastic
le verre,glass
le b?ton,cement
la brique,brick
le coton,cotton
le fer,iron
le m?tal,metal
le papier,paper
la soie,silk
CDI ,school library
EMT,technology lessons
HLM,council/social housing
SDF,homeless person
TGV,high-speed train
VTT,mountain bike
CES,secondary school
EPS,physical education/PE
SAMU,ambulance
SNCF,french rail network
TVA,VAT